Article Index,Addresses
11,at E Street Cinema .
17,of Madison Avenue in New
21,on Rolling Hills Avenue .
27,off Broad Street .
34,"on 37th Street NW ,"
46,"at 830 McKee Street .;down College Avenue ,"
79,on Wisconsin Avenue NW last November
88,"find University Drive ,"
89,"find University Drive ,"
107,booming 14th Street and has
116,of Swann Street NW for;to Swann Street that night
128,the 18th Street Lounge in
137,on Lone Oak Drive in Bethesda
144,on 16th Street NW at the
145,on 16th Street NW at the
153,the Coverstone Drive area of
183,on Irving Street NW has never;on 15th Street .
204,on New York Avenue when he
230,-LRB- 812 Seventh St . NW -RRB-;-LRB- Fourth Street and Constitution -LRB- Fourth Street and Constitution -LRB- Fourth Street and Constitution;and Constitution Avenue NW -RRB- and Constitution Avenue NW -RRB- and Constitution Avenue NW -RRB-
234,of Valerio Street in Van;on Cherry Street in West
237,From U Street to the
238,"of Coverstone Drive ,"
239,"on Pennsylvania Avenue NW ,;on Kenyon Street NW in"
240,on Prospect Street NW .
245,a K Street address after
249,", 1300 Pennsylvania Ave . NW -LRB-;, 144 Constitution Ave . NE .;, 529 14th St . NW ,;, 5015 Connecticut Ave . NW ,;, 1041 Wisconsin Ave . NW .;, 101 Independence Ave . SE ,;, 6053 Oxon Hill Rd . ,;, 3500 East -West Hwy . ,;, 4801 Bethesda Ave . ,;, 7346 Baltimore Ave . ,;, 638 N . Alfred St . ,;, 8940 Jones Mill Rd . ,;, 4433 S . Park Ave . ,;;, 2700 F St . NW .;, 201 East Capitol St . SE .;, 11301 Rockville Pike ,;, 812 Seventh St . NW ,;, 445 11th St . NW ,;, 1515 U St . NW ,"
251,"of 23rd Street ,;, F Street and Virginia;and Virginia Avenue , across Virginia Avenue from;of Florida Avenue ."
256,", 345 Oakland Dr . ,"
263,her H Street NE neighborhood .;busy H Street corridor .
266,"on Pennsylvania Avenue at 11th to Pennsylvania Avenue an d;at 11th Street NW ,;to Pennsylvania Avenue and 11th;at 11th Street NW and 11th Street ."
283,;;
285,"called 12th Avenue , on 12th Avenue ."
291,on Georgia Avenue in Northwest
302,", 4020 University Dr . ,"
307,across South Hayes Street and makes
315,"at 1452 Ross Lane ,;;on Connecticut Avenue NW ."
321,", 8500 Springfield Rd . ,;, 2854 Hunter Mill Rd . ,;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 6301 River Rd . , , 6301 River Rd . ,;, 10185 Main St . ,;, 15812 Good Hope Rd . ,;, 9900 Stoneybrook Dr . ,;, 16620 Georgia Ave . ,;, 5607 Massachusetts Ave . ,;, 8900 Little River Tpk . , , 8900 Little River Tpk . ,;, 3401 Nebraska Ave . NW .;, 5312 Connecticut Ave . NW .;;, 15300 New Hampshire Ave . ,;, 1317 G St . NW .;, 9801 Livingston Rd . ,;, 620 Michigan Ave . NE . , 620 Michigan Ave . NE .;, 509 I St . NE .;, 6037 Franconia Rd . ,;, 1529 16th St . NW .;, 8410 Little River Turnpike ,;, 755 Eighth St . NW .;;, 620 Michigan Ave . NE . , 620 Michigan Ave . NE .;, 10401 Armory Ave . ,;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 8900 Little River Tpk . , , 8900 Little River Tpk . ,;, 3737 Seminary Rd . ,;, 1150 15th St . NW ,"
